2025-11-26 09:30:07 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 09:30:07 | [SUCCESS] | 通信 | [GJDD-750] 发送完成: 7 字节
2025-11-26 09:30:07 | [SUCCESS] | 通信 | [GJDD-750] 串口已关闭
2025-11-26 09:30:07 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 09:30:07 | [SUCCESS] | 通信 | [GJDD-750] 通信错误: 端口被关闭。
2025-11-26 09:30:08 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 09:30:08 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 09:30:09 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 09:30:10 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 09:30:10 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 10:47:10 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 10:47:10 | [SUCCESS] | 通信 | [VDC-32] 串口连接成功: COM1, 波特率: 57600
2025-11-26 10:47:10 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 10:47:10 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 10:47:10 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:10 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 10:47:10 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:10 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 10:47:10 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:11 | [SUCCESS] | 通信 | [VDC-32] 连接已手动断开
2025-11-26 10:47:11 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 10:47:11 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 10:47:11 | [SUCCESS] | 通信 | [VDC-32] 串口连接成功: COM1, 波特率: 57600
2025-11-26 10:47:11 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 10:47:11 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 10:47:11 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:11 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 10:47:12 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:12 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 10:47:12 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:12 | [SUCCESS] | 通信 | [VDC-32] 连接已手动断开
2025-11-26 10:47:12 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 10:47:18 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] 串口连接成功: COM1, 波特率: 57600
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 10:47:18 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:18 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 10:47:19 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:19 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 30 20
2025-11-26 10:47:19 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:19 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 05 02
2025-11-26 10:47:19 | [SUCCESS] | 通信 | [VDC-32] RX: 
2025-11-26 10:47:19 | [SUCCESS] | 通信 | [VDC-32] 连接已手动断开
2025-11-26 10:47:19 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 10:53:45 | [SUCCESS] | 连接 | 正在连接设备 (LOAD)...
2025-11-26 10:53:45 | [SUCCESS] | 通信 | [GJDD-750] 开始连接串口: COM1, 波特率: 57600
2025-11-26 10:53:45 | [SUCCESS] | 通信 | [GJDD-750] 串口连接成功: COM1
2025-11-26 10:53:45 | [SUCCESS] | 连接 | 负载设备连接成功
2025-11-26 10:53:46 | [SUCCESS] | 通信 | [GJDD-750] TX: EE 01 0F 03 00 13 EF
2025-11-26 10:53:47 | [SUCCESS] | 通信 | [GJDD-750] 串口已关闭
2025-11-26 10:53:47 | [SUCCESS] | 连接 | 设备已断开
2025-11-26 10:53:47 | [FAILED] | 通信 | [GJDD-750] 错误: 端口被关闭。
2025-11-26 10:53:49 | [SUCCESS] | 连接 | 正在连接设备 (VDC32)...
2025-11-26 10:53:49 | [SUCCESS] | 通信 | [VDC-32] 串口连接成功: COM1, 波特率: 57600
2025-11-26 10:53:49 | [SUCCESS] | 通信 | [VDC-32] TX: 01 03 80 10 20
2025-11-26 10:53:49 | [SUCCESS] | 连接 | VDC-32 连接成功
2025-11-26 10:53:49 | [SUCCESS] | 通信 | [VDC-32] RX: 
